Name,RottenTomatoes,AudienceScore,TheatersOpenWeek,BOAverageOpenWeek,DomesticGross,Profitability
Our Idiot Brother,58,57,3305,5656,38.18,2.428425
Paranormal Activity 3,59,37,2760,3089,24.05,1.26184
Paul,68,61,3367,7135,74.5,1.620053333
Pirates of the Caribbean:On Stranger Tides,24,48,3017,2875,20.25,1.76196
Puss In Boots,82,78,3379,10492,127,5.19426
Rango,87,88,3641,15134,146.41,2.21014375
Real Steel,46,79,2214,4789,43.85,2.459277778
Rio,67,65,2408,5511,54.01,64.67266667
Rise of the Planet of the Apes,82,80,3925,12142,165.25,4.42016
Sanctum,23,48,3033,6284,36.39,1.09502439
Scream 4,46,66,265,3856,4.46,0.473
Shame,75,91,2534,10278,169.22,7.97296
Sherlock Holmes 2,49,57,3018,6512,70.6,5.908
Soul Surfer,38,55,1552,2470,8.31,3.509755556
Source Code,92,82,3376,3537,33.7,0.60802
Spy Kids: All The Time in the World,4,29,2534,5921,37.3,2.53075
Sucker Punch,7,38,2661,3055,21.3,0.77004
Super 8,76,70,1826,5427,31.18,2.27145
Take Me Home Tonight,23,31,3328,2615,17.69,5.1124
Test Test,-99,100,10000,-99,10000,-999
The Adjustment Bureau,68,58,3321,15829,103.66,40.3794
The Adventures of Tintin,69,73,2756,6860,79.25,5.994407407
The Artist,97,87,3440,8500,66.63,1.609466667
The Beaver,53,52,2703,4226,29.2,1.28
The Big Year,28,55,2614,3982,36.67,1.524125
The Change Up,16,25,2806,2995,18.88,1.54808
The Company Men,56,65,707,4960,11.54,0.56844
The Conspirator,44,38,3049,10365,100.29,10.8098
The Debt,71,68,2926,6364,55.8,4.2726
The Descendants,88,69,3917,9722,123.26,1.815955556
The Dilemma,6,53,3,2972,0.03,0.005
The Eagle,35,44,2950,4588,45.06,2.31
The Girl With The Dragon Tattoo,84,61,4,93230,13.3,1.69696875
The Green Hornet,36,43,3117,2218,21.39,0.259946667
The Hangover Part II,26,36,2769,3380,21.6,0.498116232
The Help,71,67,2535,4880,40.26,2.126033333
The Ides of March,84,81,3507,5461,71.08,2.376945946
The Iron Lady,43,48,2888,4616,37.05,1.448071429
The Lincoln Lawyer,83,93,1824,2805,13.66,0.92228
The Mechanic,42,84,1910,5873,35.06,1.001628571
The Rum Diary,41,59,3606,5889,57.31,0.788940741
The Smurfs,10,32,2816,3769,24.8,2.29
The Thing,26,68,4061,34012,260.8,5.770909091
The Three Musketeers,14,42,3482,5763,80.36,2.1287625
The Tree Of Life,84,82,2707,4879,58.01,1.875225
Thor,72,71,2875,4506,34.04,1.791789474
Tinker Tailor Soldier Spy,78,75,3715,17512,176.65,2.631457143
Tower Heist,58,81,3440,7942,83.61,2.452827273
Transformers: Dark of the Moon,26,49,3276,3731,33.04,1.143375
Twilight: Breaking Dawn,22,34,3015,3324,21.3,0.542166667
Unknown,44,47,3584,9335,98.8,1.898333333
War Horse,71,73,3826,10252,143.62,5.384822222
Warrior,78,81,3020,6326,84.34,2.85682
Water For Elephants,47,63,3167,7500,52.7,3.448380952
We Bought a Zoo,55,57,3043,7183,63.69,4.359533333
What's Your Number,11,41,3030,4622,37.66,2.122904762
Winnie The Pooh,90,77,2918,8995,169.11,8.873292308
X-Men: First Class,85,85,2199,4761,40.49,4.33552
Your Highness,19,50,1952,5047,27.87,1.696058824
