Movie,RottenTomatoes,AudienceScore,TheatersOpenWeek,BOAverageOpenWeek,DomesticGross,Profitability
30 Days of Night,50,57,2855,5587,39.57,235.95
Stardust,76,86,2540,3610,38.63,193.66
The Brave One,43,65,2755,4889,36.79,99.69
The Heartbreak Kid,30,41,3229,4342,36.79,212.94
Smokin' Aces,27,64,2218,6599,35.79,335.9
Good Luck Chuck,3,61,2612,5226,35.02,236.76
Zodiac,89,73,2362,5671,33.08,130.44
Mr. Magorium's Wonder Emporium,36,56,3164,3043,32.06,277.9
We Own the Night,55,63,2362,4583,28.56,261.55
Mr. Brooks,56,75,2453,4083,28.55,240.61
The Nanny Diaries,33,52,2629,2845,25.93,238.69
Nancy Drew,49,61,2612,2615,25.61,153.33
The Mist,72,64,2423,3686,25.59,318.29
The Reaping,9,53,2603,3851,25.13,156.93
Grindhouse,82,86,2624,4419,25.04,47.96
Sicko,93,87,702,5128,24.54,400.98
Across the Universe,54,84,954,4009,24.34,65.26
The Hills Have Eyes 2,11,50,2447,3958,20.8,249.77
Vacancy,55,46,2551,2980,19.36,185.79
Waitress,89,67,605,3327,19.07,1108.9
Into the Wild,82,90,658,3249,18.35,375.03
Walk Hard: The Dewey Cox Story,75,55,2650,1575,18.32,58.79
Next,29,59,2725,2617,18.21,108.67
Hostel: Part II,44,45,2350,3490,17.61,356.19
The Kite Runner,66,85,715,2243,15.8,366.38
Happily N'Ever After,4,43,2381,2775,15.59,81.03
The Invasion,19,43,2776,2143,15.07,50.21
Lions for Lambs,27,48,2215,3025,15,180.61
Daddy Day Camp,1,63,2332,1459,13.24,303.28
Shoot 'Em Up,67,66,2108,2711,12.81,68.77
The Darjeeling Limited,67,79,698,2523,11.9,200.45
In the Land of Women,43,72,2155,2186,11.05,175.61
Dragon Wars (aka D-War),27,44,2277,2213,10.98,100.14
Pathfinder: Legend of the Ghost Warrior,11,41,1720,2907,10.23,118.55
The Dark Knight,94,96,4366,36283,534.86,543
Iron Man,94,91,4105,24024,318.76,314.8
Indiana Jones and the Kingdom of the Crystal Skull,77,59,4260,23507,317.1,425.21
Hancock,40,67,3965,15789,227.95,416.26
WALL-E,96,89,3992,15803,223.81,289.62
Kung Fu Panda,88,83,4114,14642,215.43,315.87
Madagascar: Escape 2 Africa,64,73,4056,15559,180.01,402.6
Twilight,49,82,3419,20368,192.77,1061.12
Quantum of Solace,64,62,3451,19568,168.37,254.82
Dr. Seuss' Horton Hears a Who!,79,75,3954,11384,154.53,349.57
Sex and the City,49,81,3285,17363,152.65,722.18
Gran Torino,80,90,NA,NA,148.1,818.05
Mamma Mia!,53,76,2976,9325,144.13,924
The Chronicles of Narnia: Prince Caspian,66,78,3929,14007,141.62,209.83
Slumdog Millionaire,94,90,NA,NA,141.32,2519.39
The Incredible Hulk,67,75,3505,15810,134.81,191.58
Wanted,73,72,3175,16040,134.51,455.24
Get Smart,51,73,3911,9891,130.32,288.36
Four Christmases,26,52,NA,NA,120.15,204.67
Tropic Thunder,83,69,3319,7777,110.52,208.97
Bedtime Stories,25,63,3681,7457,110.1,266.09
Bolt,89,76,3651,7182,114.05,206.65
Marley and Me,63,77,3480,10448,143.15,441.3
The Mummy: Tomb of the Dragon Emperor,14,40,3760,10760,102.49,276.64
Journey to the Center of the Earth,61,55,2811,7477,101.7,537.76
Eagle Eye,27,72,3510,8305,101.44,222.58
Step Brothers,54,68,3094,10000,100.47,197.09
You Don't Mess with the Zohan,36,50,3462,11130,100.02,249.92
Yes Man,43,72,3434,5318,97.69,318.91
"10,000 B.C.",9,44,3410,10518,94.78,256.94
Beverly Hills Chihuahua,41,56,3215,9114,94.51,746.41
High School Musical 3: Senior Year,65,76,3623,11601,90.56,2299.16
Pineapple Express,68,74,3072,7567,87.34,390.86
Valkyrie,58,66,2711,7756,83.08,267.03
21,35,73,2648,9103,81.16,451.22
What Happens in Vegas,28,72,3215,6274,80.28,626.79
Jumper,16,50,3428,7980,80.17,269.37
Cloverfield,77,67,3411,11744,80.05,683.05
The Curious Case of Benjamin Button,73,81,2988,8987,127.51,208.71
27 Dresses,40,71,3057,7526,76.81,534.19
Hellboy II: The Golden Army,87,70,3204,10780,75.99,194.41
The Day the Earth Stood Still,19,34,3560,8562,79.37,233.09
Vantage Point,35,61,3149,7264,72.27,377.9
The Spiderwick Chronicles,79,67,3847,4940,71.2,176.04
Fool's Gold,11,53,3125,6909,70.23,153.42
Role Models,77,75,2792,6865,67.29,329.93
The Happening,19,29,2986,10220,64.51,340.42
Forgetting Sarah Marshall,85,75,2798,6791,63.17,350.57
Burn After Reading,78,64,2651,7215,60.36,442.48
Baby Mama,63,59,2543,6845,60.49,91.66
Seven Pounds,27,77,2758,5385,69.95,305.76
Step Up 2: The Streets,26,81,2470,7655,58.02,861.8
Saw V,13,63,3030,9822,56.75,1054.29
The Strangers,44,48,2466,8515,52.6,915.44
The Forbidden Kingdom,64,65,3151,6791,52.08,232.69
The Tale of Despereaux,54,46,3104,3255,50.88,158.09
The House Bunny,39,54,2714,5355,48.24,281.77
Nim's Island,51,50,3513,3760,48.01,270.47
Australia,55,69,2642,5602,49.55,270.95
Made of Honor,13,61,2729,5407,46.01,264.91
College Road Trip,13,56,2706,5026,45.61,36.82
The Sisterhood of the Traveling Pants 2,65,67,2707,3945,44.09,164.26
Speed Racer,38,61,3606,5174,43.95,78.29
Prom Night,8,46,2700,7705,43.87,317.76
Rambo,36,70,2751,6617,42.75,238.41
"Welcome Home, Roscoe Jenkins",24,64,2387,6790,42.44,124.71
Tyler Perry's Meet the Browns,31,36,2006,10011,41.98,209.88
Nights in Rodanthe,31,56,2704,4962,41.85,281.25
Max Payne,16,36,3376,5225,40.69,244.05
Righteous Kill,19,44,3152,5168,40.08,130.77
Lakeview Terrace,46,44,2464,6090,39.26,223.27
Body of Lies,53,65,2710,4754,39.39,170.51
Meet the Spartans,2,31,2605,7104,38.23,282.15
Harold and Kumar Escape from Guantanamo Bay,54,65,2510,5939,38.11,362.43
First Sunday,13,59,2213,8004,37.93,298.48
The Secret Life of Bees,56,78,1591,6617,37.77,363.15
Tyler Perry's The Family That Preys,51,36,2070,8397,37.11,371.05
Death Race,42,69,2532,4985,36.32,168.17
Changeling,62,84,1850,5055,35.74,205.49
Star Wars: The Clone Wars,19,46,3452,4233,35.16,803.32
Semi-Pro,21,41,3121,4830,33.48,1687.85
Fireproof,40,51,839,8148,33.46,6694.4
Drillbit Taylor,26,49,3056,3373,32.86,124.23
The Love Guru,14,38,3012,4617,32.24,65.91
"Definitely, Maybe",71,72,2204,4430,32.24,792.1
Milk,94,88,36,40385,31.84,272.93
Transporter 3,36,58,2626,4594,31.72,363.26
Quarantine,59,46,2461,5775,31.69,344.33
Nick and Norah's Infinite Playlist,73,67,2421,4672,31.49,335.05
The Eye,22,51,2436,5101,31.42,474.69
Zack and Miri Make a Porno,64,70,3735,3680,31.46,175.43
Leatherheads,52,41,2769,4580,31.37,71.2
Mirrors,14,49,2664,4190,30.69,221.39
Space Chimps,36,37,2511,2860,30.11,175.22
The Bank Job,78,74,1603,3702,30.06,324.11
Untraceable,14,56,2368,4795,28.69,150.45
The Women,13,41,2962,3415,26.9,312.54
One Missed Call,0,36,2240,5585,26.89,229.24
The Other Boleyn Girl,41,65,1166,7035,26.81,194.28
Street Kings,37,62,2467,5054,26.42,327.86
Shutter,7,40,2753,3794,25.93,598.48
Superhero Movie,15,36,2960,3212,25.88,109.6
W.,60,42,2030,5175,25.53,117.55
Never Back Down,23,37,2729,3152,24.85,198.22
Traitor,55,66,2054,3831,23.53,125.74
Vicky Cristina Barcelona,82,73,692,5427,23.22,602.55
Babylon A.D.,7,32,3390,2798,22.53,160.24
The X-Files: I Want to Believe,32,34,3185,3147,20.98,195.34
Mad Money,22,51,2470,3132,20.67,120.05
Appaloosa,77,55,1045,4833,20.21,138.33
Igor,36,42,2339,NA,19.53,102.49
My Best Friend's Girl,14,51,2604,3174,19.22,208.11
Doubt,78,75,1267,4214,33.45,203.62
The Spirit,14,29,2509,2576,19.81,650.52
Kit Kittredge: An American Girl,78,26,NA,NA,17.66,176.57
The Ruins,46,32,2812,2846,17.43,90.91
88 Minutes,5,51,2168,3209,17.21,108.64
Swing Vote,36,44,2213,2815,16.29,88.17
Pride & Glory,34,54,2585,2423,15.74,103.82
Bangkok Dangerous,9,33,2650,2937,15.3,94.42
Disaster Movie,2,28,2642,2209,14.19,174.08
The Duchess,60,68,NA,NA,13.85,320.78
The Haunting of Molly Hartley,3,22,2652,2045,13.56,308.34
Ghost Town,85,60,1505,3330,13.37,135.37
Religulous,70,78,502,6792,13.01,545.52
Rachel Getting Married,85,61,9,32597,12.8,138.52
The Pirates Who Don't Do Anything,41,NA,NA,NA,12.98,87.69
Under the Same Moon,72,37,266,10412,12.59,1371.24
Miss Pettigrew Lives for a Day,78,70,535,4655,12.31,27.87
Soul Men,45,42,2044,2643,12.08,NA
Meet Dave,19,42,3011,1744,11.8,84.42
The Longshots,39,39,2089,1953,11.54,39.22
"Be Kind, Rewind",65,57,808,5013,11.18,152.88
Doomsday,48,47,1936,2544,11.01,67.3
Stop-Loss,65,27,1291,3528,10.92,44.82
Penelope,52,74,NA,NA,10.01,141.03
The Express,62,73,2808,1625,9.79,26.15
Smart People,50,41,1106,3700,9.51,169.19
The Visitor,92,83,NA,NA,9.43,451.95
The Boy in the Striped Pyjamas,63,84,NA,NA,9.05,323.33
Sex Drive,46,61,2421,1490,8.4,98.71
Cadillac Records,67,64,687,5015,8.2,73.99
Punisher: War Zone,27,47,2508,1703,8.05,28.85
Miracle at St. Anna,34,68,1185,2935,7.92,20.72
City of Ember,52,48,2022,1548,7.87,47.18
In Bruges,81,85,NA,NA,7.8,222.62
Expelled: No Intelligence Allowed,10,42,1052,2824,7.72,220.57
Over Her Dead Body,15,47,NA,NA,7.56,214.57
Avatar,83,92,3452,22313,760.5,1173.63
Transformers: Revenge of the Fallen,20,76,4234,25736,402.1,398.24
Harry Potter and the Half-Blood Prince,83,75,4325,17997,302,373.6
The Twilight Saga: New Moon,27,78,4024,35497,296.62,1419.64
Up,98,86,3766,18085,293,417.89
The Hangover,79,87,3269,13759,277.3,1335.6
Star Trek,94,91,3849,19539,257.7,275.46
The Blind Side,65,90,3110,10971,255.96,1066.2
Alvin and the Chipmunks: The Squeakquel,21,59,3700,13210,219.5,587.6
Sherlock Holmes,70,81,3626,17183,209.02,582.24
Monsters Vs. Aliens,72,65,4104,14454,198.4,218
Ice Age: Dawn of the Dinosaurs,45,72,4099,10171,196.57,985.2
X-Men Origins: Wolverine,37,72,4099,20751,179.9,248.73
Night at the Museum: Battle of the Smithsonian,43,60,4096,13226,177.2,275.33
2012,39,63,3404,19165,166.12,384.84
The Proposal,43,74,3056,11004,163.96,786.75
Fast and Furious,28,76,3461,20500,155.1,427.18
G.I. Joe: The Rise of Cobra,33,62,4007,13654,150.2,172.63
Paul Blart: Mall Cop,33,50,3144,10125,146.33,704.92
Taken,58,83,3183,7765,145,907.2
A Christmas Carol,52,72,3683,8159,137.9,162.67
Angels & Demons,36,65,3527,13100,133.4,323.93
Terminator Salvation,33,64,3530,12056,125.3,186
Cloudy with a Chance of Meatballs,86,70,3119,9716,124.9,243.03
Inglourious Basterds,88,87,3135,12024,120.5,459.16
G-Force,22,50,3697,8576,119.4,190.07
District 9,91,81,3049,12251,115.6,702.57
It's Complicated,56,63,2887,7655,112.73,257.76
Couples Retreat,12,47,3000,11429,109.2,286.38
Paranormal Activity,82,56,760,25813,107.92,NA
Watchmen,64,68,3611,15291,107.5,142.54
The Princess and the Frog,84,72,3434,7050,104.4,254.32
Public Enemies,67,65,3334,7580,97.1,214.1
Julie & Julia,74,69,2354,8508,94.12,316.43
He's Just Not That Into You,42,60,3175,8751,93.95,715.36
The Ugly Truth,14,68,2882,9579,88.9,540.22
Up in the Air,90,76,1895,5947,83.82,800.81
Knowing,33,50,3332,7384,79.95,367.16
Hannah Montana: The Movie,44,66,3118,10367,79.58,444.43
Where the Wild Things Are,73,59,3735,8754,77.23,100.08
Zombieland,90,87,3036,8147,75.59,433.86
Coraline,89,77,2299,7329,75.28,207.63
Law Abiding Citizen,25,77,2890,7280,73.4,238.64
Hotel for Dogs,46,57,3271,5201,73,337.71
Michael Jackson's This Is It,81,82,3481,6675,72.1,435.32
"I Love You, Man",83,72,2711,6570,71.4,228.5
Obsessed,20,50,2514,11318,68.26,369.1
Race to Witch Mountain,42,50,3187,7651,67.17,212.76
The Final Destination,29,52,3121,8782,66.5,465.47
The Taking of Pelham 1 2 3,51,60,3074,7603,65.45,150.16
Friday the 13th,25,52,3105,13066,65,481.05
17 Again,55,70,3255,7288,64.2,681.5
The Time Traveler's Wife,38,65,2988,6233,63.41,259.82
Bruno,68,48,2756,11110,60.1,311.43
Bride Wars,11,56,3226,6528,58.75,383.83
The Haunting in Connecticut,17,51,2732,8420,55.39,258.4
Ghosts of Girlfriends Past,27,47,3175,4854,55.25,204.44
Funny People,68,58,3007,7535,51.85,95.44
My Bloody Valentine 3-D,57,48,2534,8383,51.54,719.49
Old Dogs,5,49,3425,4933,49.49,276.43
Land of the Lost,26,38,3521,5350,49.43,68.77
My Sister's Keeper,47,73,2606,4774,49.2,348.05
Underworld: Rise of the Lycans,30,68,2942,7080,45.8,261
Confessions of a Shopaholic,24,53,2507,6010,44.27,155
The Lovely Bones,32,57,2563,6635,44,143.86
Year One,14,31,3022,6489,43.33,103.92
The Unborn,11,39,2357,8405,42.67,478.19
Planet 51,22,45,3035,4048,42.19,150.91
Drag Me to Hell,92,61,2508,6310,42.1,302.67
Orphan,55,65,2750,4681,41.59,255.64
Duplicity,64,38,2574,5425,40.57,130.23
Surrogates,39,42,2951,5050,38.57,153.04
Ninja Assassin,25,57,2503,5320,38.12,123.18
Invictus,75,74,2125,4052,37.49,203.72
State of Play,84,71,2803,5020,37.02,147
Notorious,50,66,1638,12514,36.84,221.8
The Pink Panther 2,12,47,3243,3573,35.92,128.71
All About Steve,6,35,2251,4994,33.86,267.47
Halloween II,20,45,3025,5405,33.39,262.73
The Informant!,78,42,2505,4177,33.31,189.82
The Men Who Stare at Goats,52,43,2443,5201,32.4,275.76
(500) Days of Summer,87,81,817,4577,32.39,809.6
Push,22,47,2313,4358,31.81,128.55
9,57,58,1661,10398,31.74,161.37
The Soloist,56,59,2024,4801,31.7,63.85
Did You Hear About the Morgans?,12,31,2718,2434,29.58,147.03
The Stepfather,12,48,2734,4236,29.1,156
The Uninvited,31,52,2344,4405,28.6,NA
Brothers,61,62,2088,4563,28.5,166.42
Saw VI,40,67,3036,4650,27.69,619.91
Dance Flick,17,35,2450,4344,25.66,125.72
The Fourth Kind,18,44,2527,4840,25.48,477
The International,58,39,2364,3947,25.4,120.2
Aliens in the Attic,30,46,3106,2578,25.2,128.62
Observe and Report,51,40,2727,4040,24,149.78
Love Happens,18,40,1898,4245,22.96,200.44
Fame,25,43,3096,3234,22.46,428.95
Fantastic Mr. Fox,93,80,2033,3426,21,116.15
Gamer,29,43,2502,3659,20.53,326.56
Nine,37,40,1412,3862,19.67,67.49
Astro Boy,49,53,3014,2224,19.55,61.36
The Invention of Lying,56,47,1707,4117,18.45,175.14
Inkheart,39,51,2655,2862,17.3,104.07
Fired Up!,22,52,1810,3030,17.2,93
The Hurt Locker,97,83,4,36338,17.01,328.13
Jennifer's Body,42,37,2702,2542,16.2,197.19
Imagine That,38,44,3008,1830,16.12,41.8
Adventureland,89,56,1862,3073,16.04,175.1
Armored,40,34,1915,3400,15.99,80
A Perfect Getaway,61,50,2159,2755,15.5,163.07
The Box,46,27,2635,2873,15.1,111.27
I Love You Beth Cooper,14,38,1856,2648,14.8,87.89
Amelia,21,35,820,4761,14.25,48
Cirque du Freak: The Vampire's Assistant,38,50,2754,2285,13.87,98.08
Crank: High Voltage,62,54,2223,3133,13.7,267.44
Whip It,84,73,1721,2702,13,106.67
An Education,94,78,761,1003,12.57,347.87
12 Rounds,30,52,2331,2286,12.23,86.38
Sunshine Cleaning,72,59,642,1527,12.06,331.4
Sorority Row,22,38,2665,1899,11.97,217.68
Extract,62,37,1611,2694,10.8,144.33
Not Easily Broken,34,66,724,7340,10.6,214
Pandorum,28,49,2506,1765,10.3,42.5
Whiteout,7,28,2745,1791,10.28,34.86
Next Day Air,21,27,1138,3613,10,333.33
Away We Go,67,74,4,32603,9.45,70.9
Dragonball Evolution,15,28,2181,2181,9.36,194.1
A Serious Man,89,64,6,41890,9.23,448.99
Everybody's Fine,46,55,2133,1806,9.2,78.1
Street Fighter: The Legend of Chun-Li,16,28,1136,4156,8.74,24.68
My Life in Ruins,9,43,1164,2769,8.67,106
"Pirate Radio (The Boat that Rocked, UK)",60,72,882,3293,8.01,72.68
The Road,75,65,111,13534,8.12,110.51
Taking Woodstock,48,48,1393,2482,7.46,34.4
Post Grad,7,31,1959,1354,6.38,42.53
Whatever Works,50,63,9,29574,5.3,233.94
Bandslam,79,60,2121,1052,5.2,61
127 Hours,93,84,916,2333,18.33,337.39
A Nightmare on Elm Street,13,40,3332,9875,63.08,330.49
Alice in Wonderland,52,72,3728,31143,334.19,512.73
All About Steve,6,35,2251,4994,33.86,267.47
Alpha and Omega,17,41,2625,3469,25.11,252.54
Black Swan,88,86,959,8742,106.95,2533.82
Brooklyn's Finest,42,47,1936,6896,27.16,214.35
Buried,86,63,11,9115,1.04,957.4
Burlesque,36,66,3037,3934,39.44,162.76
Case 39,23,42,2211,2420,13.26,108.42
Cats & Dogs: The Revenge of Kitty Galore,13,43,3705,3314,43.59,132.34
Charlie St. Cloud,27,62,2718,4555,31.16,109.52
City Island,81,77,2,16000,6.67,131.23
Clash of the Titans,28,48,3777,16213,163.21,394.57
Conviction,68,71,672,2424,6.79,77.68
Cop Out,19,45,3150,5781,44.88,185.29
Country Strong,20,56,1424,5145,20.22,136.85
Cyrus,80,51,4,45429,7.47,141.71
Date Night,66,58,3374,7471,98.71,276.84
Daybreakers,67,50,2523,6003,30.1,257.05
Dear John,29,66,2969,10262,80.01,459.88
Death at a Funeral,40,48,2459,6595,42.74,233.57
Despicable Me,81,81,3476,16225,251.51,787.12
Devil,52,45,2809,4375,33.6,626.94
Diary of a Wimpy Kid,53,49,3077,7191,64,504.67
Dinner for Schmucks,43,47,2911,8082,73.03,125.88
Due Date,40,56,3355,9743,100.54,423.56
Easy A,85,75,2856,6209,58.4,936.88
Eat Pray Love,36,46,3082,7497,80.57,340.98
Edge of Darkness,55,56,3066,5615,43.31,101.4
Extraordinary Measures,27,55,2549,2359,12.07,48.84
Faster,41,50,2454,3873,23.24,148.44
For Colored Girls,33,73,2127,9167,37.73,262.14
From Paris with Love,38,57,2722,2997,24.08,101.59
Furry Vengeance,8,36,2997,2211,17.63,103.53
Get Him to the Greek,73,63,2697,6515,60.97,228.14
Going the Distance,53,56,3030,2272,17.8,131.41
Green Zone,53,60,3003,4765,35.05,94.88
Greenberg,75,40,3,39384,4.23,NA
Grown Ups,10,59,3534,11462,162,339.29
Gulliver's Travels,21,31,2546,2477,42.78,211.95
Harry Potter and the Deathly Hallows Part 1,79,87,4125,30307,295,767.44
Hot Tub Time Machine,64,57,2754,5091,50.29,179.36
How to Train Your Dragon,98,90,4055,10785,217.58,299.93
I Love You Phillip Morris,71,57,100,NA,2.04,138.15
Inception,86,93,3792,16557,292.58,515.96
Iron Man 2,74,80,4380,29252,312.43,311.97
Jackass 3-D,63,72,3081,16343,117.23,858.43
Jonah Hex,13,24,2825,1904,10.55,23.21
Just Wright,45,58,1831,4525,21.54,179.74
Kick-Ass,76,83,3065,6469,48.07,320.63
Killers,11,45,2859,5539,47.06,130.88
Knight and Day,53,52,3098,6501,76.42,223.87
Leap Year,21,49,2511,3665,25.92,171.62
Legend of the Guardians: The Owls of Ga'Hoole,51,65,3575,4507,55.68,175.09
Legion,19,36,2476,7069,40.17,261.23
Letters to Juliet,40,62,2968,4562,53.03,263.93
Life as We Know It,28,62,3150,4605,53.13,102.1
Little Fockers,9,40,3536,8720,148.44,310.65
Love & Other Drugs,48,55,2455,3967,32.37,342.67
MacGruber,47,33,2551,1585,8.53,93.27
Machete,73,66,2670,4276,26.59,220.45
Marmaduke,9,46,3213,3610,33.64,167.51
Megamind,72,73,3944,11668,148.42,247.6
Morning Glory,54,54,2518,3655,31.01,150.1
My Soul to Take,9,29,2572,2660,14.74,83.88
Nanny McPhee Returns,77,54,2784,3020,29.01,266.4
Never Let Me Go,70,70,4,NA,2.43,63
Our Family Wedding,14,49,1605,4754,20.26,NA
Paranormal Activity 2,NA,NA,3216,12649,84.75,5917.03
Percy Jackson & the Olympians: The Lightning Thief,50,57,3356,9308,88.77,238.42
Piranha 3-D,74,45,2470,4092,25,346.62
Please Give,88,62,NA,NA,4.03,143.63
Predators,64,52,2669,9277,52,318.08
Prince of Persia: The Sands of Time,36,71,3646,8254,90.76,168.18
Red,71,72,3255,6686,90.38,343.11
Remember Me,28,70,2212,3657,19.07,350.21
Repo Men,22,43,2521,2430,13.79,57.53
Resident Evil: Afterlife,24,53,3203,8320,60.13,493.7
Robin Hood,42,59,3503,10295,105.27,160.83
Salt,62,62,3612,9970,118.31,266.82
Saw 3-D,10,47,2808,8024,45.71,680.75
Scott Pilgrim vs. the World,81,83,2818,3765,31.52,79.43
Sex and the City 2,15,49,3445,8999,95.35,288.35
She's Out of My League,57,60,2956,3307,32.01,248.89
Shrek Forever After,57,64,4359,16251,238.74,456.12
Shutter Island,68,73,2991,13729,128.01,368.5
Skyline,16,19,2880,4060,21.39,668.17
Solitary Man,81,47,4,23734,4.36,34.52
Step Up 3D,46,67,2435,6494,42.4,530.97
Stone,49,20,6,12628,1.81,43.09
Takers,27,57,2206,9298,57.74,215.78
Tangled,89,88,3603,13535,200.82,227.61
The A-Team,47,71,3535,7262,77.22,177.24
The American,66,37,2823,4668,35.61,339.38
The Back-up Plan,20,47,3280,3720,37.49,221.36
The Book of Eli,48,68,3111,10540,94.84,196.38
The Bounty Hunter,7,41,3074,6729,67.06,340.83
The Chronicles of Narnia: The Voyage of the Dawn Treader,49,63,3555,6752,104.39,268.18
The Crazies,72,54,2476,6489,39.12,274.02
The Expendables,40,58,3270,10650,103.07,334.72
The Fighter,91,88,2503,4848,93.62,516.62
The Ghost Writer,83,68,819,2520,15.54,133.82
The Joneses,61,47,NA,NA,1.48,19.7
The Karate Kid,66,75,3663,15197,176.59,897.8
The Kids Are All Right,94,72,847,4162,20.81,867.6
The King's Speech,95,93,700,6406,138.79,2761.36
The Last Airbender,6,42,3169,12725,131.77,213.14
The Last Exorcism,73,32,2874,7087,41.03,3762.94
The Last Song,19,66,2673,5989,62.95,445.2
The Losers,47,55,2936,3204,23.59,117.52
The Next Three Days,51,66,2564,2552,21.15,224.83
The Other Guys,78,57,3651,9735,119.22,170.43
The Runaways,68,56,244,3300,3.57,46.77
The Social Network,96,89,2771,8100,96.96,449.84
The Sorcerer's Apprentice,42,57,3504,5028,63.15,143.52
The Spy Next Door,13,46,2924,3326,24.31,NA
The Switch,52,44,2012,4193,27.78,262.27
The Tourist,20,44,2756,5977,67.63,278.35
The Town,94,83,2856,8322,92.19,416.28
The Twilight Saga: Eclipse,50,74,4468,14510,300.53,1027.19
The Wolfman,33,38,3222,9770,61.98,93.19
Tooth Fairy,16,46,3344,4190,60.02,234.29
Toy Story 3,99,91,4028,27385,415,531.58
Tron: Legacy,50,67,3451,12578,172.06,235.33
True Grit,96,86,3047,8149,171.24,663.88
Unstoppable,86,73,3207,7075,81.56,176.63
Valentine's Day,17,54,3655,15351,110.49,416.32
Vampires Suck,4,32,3233,3774,36.66,402.73
Wall Street: Money Never Sleeps,54,43,3565,5333,52.47,192.49
When in Rome,15,44,2456,5029,32.68,NA
Why Did I Get Married Too?,27,67,2155,13591,60.09,303.35
Yogi Bear,14,36,3515,4669,100.25,251.98
You Again,18,45,2548,3300,25.7,160.02
You Will Meet a Tall Dark Stranger,43,35,402,NA,3.24,155.76
Youth in Revolt,68,52,1873,3678,15.28,109.16
Harry Potter and the Deathly Hallows Part 2,96,92,4375,38672,381.01,1073.21
Pirates of the Caribbean:On Stranger Tides,34,61,4155,21697,241.07,418.28
Cars 2,38,56,4115,16072,191.45,279.93
Transformers: Dark of the Moon,35,67,4088,23937,352.39,576.3
Twilight: Breaking Dawn,26,68,4061,34012,281.29,647.43
Thor,77,80,3955,16618,181.03,299.55
Puss In Boots,83,76,3952,8623,149.26,426.91
Kung Fu Panda 2,82,80,3925,12142,165.25,443.79
Rango,88,69,3917,9722,123.48,182.02
Rio,71,73,3826,10252,143.62,538.48
Green Lantern,27,48,3816,13935,116.6,109.93
Cowboys and Aliens,44,50,3750,9715,100.24,107.25
