Movie,RottenTomatoes,AudienceScore,TheatersOpenWeek,BOAverageOpenWeek,DomesticGross,Budget,Profitability
The Thing,36,52,2996,2835,16.93,38,72.18
Transformers: Dark of the Moon,35,67,4088,23937,352.39,195,576.3
The Hangover Part II,35,58,3615,23775,254.46,80,733.46
Battle: Los Angeles,35,50,3417,10411,83.55,70,302.6
Hall Pass,35,44,2950,4588,45.06,36,231
Pirates of the Caribbean:On Stranger Tides,34,61,4155,21697,241.07,250,418.28
Larry Crowne,34,46,2973,4405,35.61,30,240.03
I Am Number Four,32,57,3154,6167,55.1,60,249.8
Sanctum,30,39,2787,3390,23.21,30,362.03
Colombiana,28,55,2614,3982,36.67,40,152.41
Take Me Home Tonight,28,46,2003,1730,6.93,25,27.71
Green Lantern,27,48,3816,13935,116.6,200,109.93
Twilight: Breaking Dawn,26,68,4061,34012,281.29,110,647.43
Hop,26,50,3579,10490,108.09,63,291.99
Arthur,26,49,3276,3731,33.04,40,114.34
Your Highness,26,36,2769,3380,21.6,49.9,49.81
Killer Elite,25,48,2986,3132,25.12,70,80.55
The Three Musketeers,24,48,3017,2875,20.37,75,176.37
What's Your Number,24,50,3002,1806,14.01,20,152.13
The Change Up,24,53,2913,4645,37.08,52,145.09
The Smurfs,23,50,3395,10489,142.61,110,512.5
Apollo 18,23,31,3328,2615,17.69,5,511.24
Sucker Punch,23,48,3033,6284,36.39,82,109.5
The Dilemma,23,31,2940,6060,48.48,70,99.6
Spy Kids: All The Time in the World,22,40,3295,3534,38.54,27,316.9
Conan the Barbarian,22,34,3015,3324,21.3,90,54.22
The Sitter,22,43,2750,2582,30.441,25,139.76
The Rite,20,43,2985,4955,33.05,37,259.59
Just Go With It,19,63,3548,8601,103.03,80,268.68
Beastly,19,50,1952,5047,27.87,17,253.91
Priest,17,37,2864,5221,29.14,60,130.51
Shark Night 3D,16,25,2806,2995,18.88,25,160.54
Zookeeper,14,42,3482,5763,80.36,80,212.31
Red Riding Hood,11,41,3030,4622,37.66,42,212.29
Season Of The Witch,10,32,2816,3769,24.83,40,229.07
New Year's Eve,8,48,3505,3714,54.54,56,253.64
Dream House,7,38,2661,3055,21.3,50,77
Jack and Jill,4,59,3438,7273,74.16,79,189.47
Abduction,4,46,3118,3504,28.09,35,234.53
The Roommate,4,29,2534,5921,37.3,16,253.08
